AFFE,AFFENPINSCHER
MAPI,MASTIN DE LOS PIRINEOS
MAES,MASTIN ESPAÑOL
MANA,MASTIN NAPOLITANO
MATI,MASTIN TIBETANO
MUDI,MUDI
KOOI,NEDERLANDSE KOOIKERHONDJE
NOTE,NORFOLK TERRIER
NOEL,NORSK ELGHUND GRA
NORW,NORWICH TERRIER
NOVA,NOVA SCOTIA DUCK TOLLING RETRIEVER
OESD,OLD ENGLISH SHEEPDOG
OTTE,OTTERHOUND
OVAL,OVEJERO ALEMAN
OVBE,OVEJERO BELGA
OVBG,OVEJERO BELGA GROENENDAEL
OVBT,OVEJERO BELGA TERVUEREN
PAJR,PARSON RUSSELL TERRIER
PJRI,PARSON RUSSELL TERRIER (RI)
AUTG,PASTOR AUSTRALIANO STUMPY TAIL
PABE,PASTOR BERGAMASCO
PBSU,PASTOR BLANCO SUIZO
TORN,PASTOR DE BOSNIA Y HERZEGOVINA -
PAKA,PASTOR DE KARST
BEPI,PASTOR DE PICARDÍA
PERU,PASTOR DE RUSIA MERIDIONAL
LAPI,PASTOR FINLANDÉS DE LAPONIA
PMA,PASTOR MINIATURA AMERICANO
PAMA,PASTORE MAREMMANO-ABRUZZESE
PEKI,PEKINES
PEBR,PEQUEÑO BRABANZON
MUPE,PEQUEÑO MÜNSTERLÄNDER
PELE,PEQUEÑO PERRO LEON
PPRU,PEQUEÑO PERRO RUSO
PSAG,PEQUEÑO SABUESO AZUL DE GASCUÑA
PEBU,PERDIGUERO DE BURGOS
PEDR,PERDIGUERO DE DRENTE
PEFR,PERDIGUERO FRISÓN
PEPO,PERDIGUERO PORTUGUES
JAMT,PERRO CAZADOR DE ALCES SUECO
PEAM,PERRO DE AGUA AMERICANO
PEAG,PERRO DE AGUA ESPAÑOL
PEFA,PERRO DE AGUA FRANCÉS
PEFI,PERRO DE AGUA FRISON
PEAI,PERRO DE AGUA IRLANDES
CAOA,PERRO DE AGUA PORTUGUÉS
CALO,PERRO DE CASTRO LABOREIRO
DSGA,PERRO DE GRANJA DANÉS Y SUECO
PESI,PERRO DE LA SIERRA DE LA ESTRELA
AIDI,PERRO DE MONTAÑA DEL ATLAS
PECE,PERRO DE MUESTRA ALEMÁN DE PELO CERDOSO
POCA,PERRO DE OSOS DE CARELIA
COKO,PERRO DE PASTOR DE ANATOLIA
